X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
38.306465	-0.490517	-1.102044	38.325453	-0.733636	91.647761	-26.204544	-26.246328	-18.505594
39.093646	0.213013	-0.357762	39.095863	0.312189	90.524314	-26.222197	-26.264853	-18.505068
38.349363	-0.100144	-0.231212	38.350191	-0.149619	90.345437	-26.220308	-26.264772	-18.504883
37.974004	-0.027217	0.081944	37.974102	-0.041065	89.876361	-26.224504	-26.273525	-18.504934
36.884391	-0.033652	-0.053185	36.884445	-0.052274	90.082617	-26.222691	-26.274784	-18.505072
35.794779	-0.190230	-0.143271	35.795571	-0.304493	90.229326	-26.234760	-26.293343	-18.505049
34.419893	-0.070115	0.157016	34.420323	-0.116714	89.738631	-26.237194	-26.308098	-18.504517
33.628423	-0.132317	-0.111097	33.628867	-0.225440	90.189284	-26.233107	-26.307619	-18.504728
33.008545	-0.123738	0.317884	33.010307	-0.214781	89.448242	-26.235630	-26.319424	-18.504789
31.455632	0.073594	-0.158285	31.456116	0.134049	90.288310	-26.238668	-26.335571	-18.504593
30.724219	-0.196664	0.019742	30.724855	-0.366743	89.963185	-26.236332	-26.336260	-18.505039
29.576694	-0.314634	0.172030	29.578867	-0.609485	89.666766	-26.224493	-26.334768	-18.505074
28.341227	-0.177360	0.202059	28.342503	-0.358554	89.591524	-26.243965	-26.374033	-18.505190
27.759958	-0.080840	-0.179734	27.760657	-0.166850	90.370960	-26.237560	-26.376146	-18.505054
27.324541	0.007102	-0.293414	27.326118	0.014891	90.615226	-26.256090	-26.405645	-18.504593
25.835976	0.116492	0.058350	25.836305	0.258339	89.870599	-26.250826	-26.416985	-18.504856
24.890072	-0.057246	0.069075	24.890234	-0.131776	89.840994	-26.234774	-26.412949	-18.505260
23.856227	-0.012203	0.006873	23.856231	-0.029307	89.983494	-26.254349	-26.453659	-18.504864
22.560703	0.238752	0.547389	22.568606	0.606317	88.610186	-26.259895	-26.490253	-18.504946
21.368135	0.144376	-0.104663	21.368879	0.387118	90.280630	-26.247141	-26.503313	-18.505152
20.336435	0.395330	0.283566	20.342253	1.113660	89.201286	-26.228762	-26.504780	-18.505194
19.607166	0.436083	0.000438	19.612015	1.274106	89.998721	-26.210686	-26.501741	-18.504501
19.034476	0.305244	0.105538	19.037216	0.918737	89.682363	-26.210756	-26.527245	-18.504992
17.363594	0.223737	0.294290	17.367529	0.738240	89.029085	-26.184252	-26.545488	-18.504803
16.947482	0.088608	0.313594	16.950615	0.299562	88.939941	-26.098734	-26.396484	-18.504362
15.832130	-0.055101	0.287855	15.834843	-0.199406	88.958385	-26.084358	-26.401014	-18.504650
14.783271	0.037130	0.075510	14.783510	0.143906	89.707350	-26.057926	-26.354816	-18.504816
13.048041	0.376026	0.290000	13.056679	1.650725	88.727306	-26.042973	-26.284910	-18.505335
12.451757	0.326693	0.169886	12.457200	1.502906	89.218603	-26.046312	-26.282642	-18.505156
11.939124	0.225882	0.180610	11.942627	1.083878	89.133475	-26.066702	-26.217604	-18.506124
10.802324	0.489706	0.339333	10.818741	2.595634	88.202605	-26.085764	-26.265495	-18.505344
9.738450	0.054290	-0.102518	9.739141	0.319407	90.603127	-26.286694	-26.046711	-18.503189
8.269188	-0.389706	0.103393	8.279012	-2.698210	89.284436	-26.928307	-26.041069	-18.502468
7.439110	-0.166636	0.174175	7.443014	-1.283209	88.659089	-27.263382	-26.116571	-18.502125
6.896448	-0.089419	-0.130401	6.898260	-0.742854	91.083157	-27.720188	-26.273376	-18.502554
5.120465	0.103622	-0.106807	5.122627	1.159332	91.194711	-28.077009	-26.387177	-18.502182
4.820178	0.303099	0.229943	4.835169	3.598093	87.274195	-28.404535	-26.531002	-18.502455
3.696247	0.187274	0.307160	3.713712	2.900465	85.255671	-29.361002	-27.044458	-18.502161
2.737474	0.039275	0.043336	2.738098	0.821981	89.093139	-30.112640	-27.490580	-18.502296
1.976032	-0.228838	0.513071	2.054339	-6.605821	75.537298	-30.994493	-28.080847	-18.503220
0.884274	0.067159	0.142002	0.898118	4.343176	80.902767	-31.463068	-28.416059	-18.502792
-0.295425	0.015681	-0.250516	0.387660	176.961564	130.257741	-32.271866	-29.004469	-18.502329
-1.530891	0.182984	-0.063909	1.543112	173.183900	92.373634	-33.893364	-30.290396	-18.502161
-2.322362	0.193709	0.217073	2.340515	175.231987	84.678395	-34.692944	-30.931358	-18.502819
-3.156731	0.206578	0.172030	3.168157	176.255875	86.887317	-36.475182	-32.606911	-18.502459
-4.188431	0.328838	0.217073	4.206924	175.510862	87.042276	-36.857033	-32.948727	-18.503172
-5.486099	0.137941	-0.005997	5.487837	178.559674	90.062610	-39.896702	-35.996666	-18.502565
-6.378381	-0.138752	0.214929	6.383509	-178.753814	88.070524	-41.221130	-37.349957	-18.502575
-7.519471	0.142231	-0.145416	7.522222	178.916380	91.107682	-42.347992	-38.541294	-18.501854
-8.523288	-0.048666	-0.256951	8.527299	-179.672858	91.726741	-42.156254	-38.641815	-18.502371
-9.190354	-0.166636	-0.147561	9.193049	-178.961250	90.919713	-31.441793	-29.206394	-18.504416
-10.123388	0.110057	-0.353472	10.130155	179.377129	91.999629	-30.812124	-28.840157	-18.506115
-12.073109	-0.224548	-0.014576	12.075205	-178.934476	90.069164	-30.019154	-28.520079	-18.507730
-11.987312	-0.027217	-0.111097	11.987858	-179.869912	90.530995	-29.729572	-28.323286	-18.507877
-13.585268	-0.001478	0.307160	13.588740	-179.993767	88.704777	-29.126566	-27.961454	-18.507875
-14.168683	0.363156	-0.089648	14.173619	178.531779	90.362399	-28.900911	-27.815832	-18.506950
-15.753769	-0.125883	0.019742	15.754284	-179.542180	89.928201	-28.371178	-27.528208	-18.507032
-16.298575	0.054290	-0.271965	16.300934	179.809152	90.955969	-28.176046	-27.381956	-18.506762
-17.182277	-0.102289	-0.093938	17.182838	-179.658914	90.313236	-27.960083	-27.275522	-18.506161
-17.911545	-0.269591	-0.008142	17.913576	-179.137691	90.026041	-27.825989	-27.173075	-18.506283
-19.134142	-0.179505	-0.237647	19.136460	-179.462501	90.711548	-27.626337	-27.049828	-18.505104
-19.788339	-0.110868	-0.003852	19.788650	-179.678992	90.011153	-27.489065	-26.945663	-18.504875
-20.845778	0.251621	-0.048895	20.847354	179.308439	90.134381	-27.374098	-26.877375	-18.504219
-22.192779	0.013536	-0.096083	22.192991	179.965053	90.248059	-27.250170	-26.796602	-18.504248
-23.323145	-0.040086	0.367217	23.326070	-179.901524	89.097968	-27.152382	-26.738930	-18.504047
-24.155369	0.026406	0.257827	24.156760	179.937366	89.388467	-27.057339	-26.666386	-18.504213
-25.161331	0.058579	-0.051040	25.161450	179.866607	90.116224	-27.005638	-26.634792	-18.503248
-25.903468	0.210868	0.034756	25.904350	179.533593	89.923125	-26.948973	-26.592644	-18.503561
-27.825305	0.213013	-0.063909	27.826194	179.561389	90.131593	-26.833410	-26.519724	-18.503237
-28.481646	-0.134462	0.088379	28.482101	-179.729508	89.822213	-26.804182	-26.499439	-18.502792
-29.766446	0.022116	0.339333	29.768388	179.957430	89.346865	-26.753006	-26.462957	-18.502504
